Phase,Task #,Workstream,Task Name,Source File(s) in team/final-tasks,Files Changed in symbulate/,Severity/Risk,Requires Team Decision?,Requires __init__.py Sign-off?,Needs Manual/Visual Verification,Done (Y/N)
2,17,Distributions,Beta: add xmin/xmax parameters,distributions/0003-feature-add-xmin-xmax-parameters-to-Beta-distributio.patch,distributions.py,High (Beta reused by PERT/Dirichlet - regression risk),No,No,MUST re-run full TestBeta/TestPERT/TestDirichlet suites,N
3,18,Audit,Random-seed consolidation (incl. Finding 2 docstring fix),audit/random_seed_notes.md,probability_space.py; distributions.py; gaussian_process.py; hitting_times.py; markov_chains.py; plot.py; diffusion_process.py; random_variables.py; ~11 test files,High (reproducibility currently broken; teaching-tool impact),No,Yes (export seed()),Confirm no circular import; regenerate docstring values for real,N
3,19,Audit,Fast_sim performance patch (NegativeHypergeometric TruncatedNormal),audit/fast_sim_notes.md; fast_sim_patch.py (draft sketch not applyable),distributions.py; probability_space.py; random_variables.py,Medium (perf only, but changes RNG draw sequence for 2 dists),No,No,Flag sequence-changes-for-fixed-seed to reviewer explicitly,N
4,20,Audit,Finding 6: Inconsistent handling of bad plot kwargs,audit/finding06_plot_kwargs.patch,results.py,High (visible on common typo),No,No,Manually verify ~18 follow-up call sites (no reference tests exist),N
4,21,Audit,Finding 9: dims= validated after pairs-matrix partially drawn,audit/finding09_dims_validation_order.patch,results.py,Medium-High (half-built figure left behind),No,No,None beyond listed test; must merge AFTER Finding 6,N
5,22,Graphics,Patch 0001: Guard degenerate distribution params + pdf/cdf overlay,graphics/0001-fix-guard-degenerate-distribution-params-and-pdf-cdf.patch,distributions.py; plot.py,High (raw NumPy crash on degenerate params),YES - hard error vs warning tier,No,Render 4 degenerate-param repro cases; confirm twinx() escape hatch,N
5,23,Graphics,Patch 0002: Rename titles + mosaic/stackedbar split + boxplot/violin outlier defaults,graphics/0002-feat-rename-simulated-theoretical-plot-titles-to-ful.patch,plot.py; results.py; CLAUDE.md,High (largest/highest-conflict patch in batch),YES - equal_width to mosaic/stackedbar mapping,No,Heaviest visual verification in batch - mosaic gaps boxplot whiskers suggestion text,N
5,24,Graphics,Patch 0003: Pad discrete distribution plot axes,graphics/0003-fix-pad-discrete-distribution-plot-axes-so-points-ar.patch,distributions.py,Medium (visual polish),No,No,Render Poisson(3).plot() before/after; confirm no padding accumulation on overlay,N
5,25,Graphics,Patch 0004: Rotate right-hand marginal strip frequency tick labels,graphics/0004-fix-rotate-right-hand-marginal-strip-s-frequency-tic.patch,plot.py,Low-Medium (visual polish),No,No,Render marginal=True plot and MultivariateNormal joint; zoom on right strip,N
5,26,Graphics,Patch 0005: Render sample paths by actual shape (dots/steps/line),graphics/0005-feat-render-sample-paths-by-their-actual-shape-dots-.patch,plot.py; result.py,Medium-High (visual behavior change for many process types),No,No,Render MM1/PoissonProcess path; confirm BrownianMotion unchanged; confirm CoxProcess fallback,N
5,27,Graphics,Patch 0006: Histogram/impulse plots of jump process visited states,graphics/0006-feat-histogram-impulse-plots-of-a-jump-process-s-vis.patch,result.py; plot.py; results.py,Medium (new feature; depends on 0005),No,No,Render weighted vs unweighted impulse plot side by side to confirm distinction,N
5,28,Graphics,Patch 0007: Dispatch two dependent categorical variables to real 2D plot,graphics/0007-fix-dispatch-two-dependent-categorical-variables-to-.patch,results.py,Medium-High (previously showed meaningless Sample Path),YES - tile vs mosaic default,No,Run exact event_sim repro from bug report,N
5,29,Graphics,bin_width_and_equal_area patch (histogram binning kwargs),graphics/bin_width_and_equal_area.patch; histogram-binning-conversation-summary.md,plot.py; results.py,Medium (new feature; expect manual merge conflict with 0002),YES - bin_width vs bins conflict + naming,No,Visually confirm equal_area histogram shape; expect manual conflict resolution vs Patch 0002,N
5,30,Graphics,Build missing test infrastructure (Layer 1 blank-plot detector + Layer 2 regression sweep),graphics/symbulate_graphics_testing_strategy.md,new symbulate/tests/test_plot_regression_sweep.py; new axes_is_blank helper,Medium (testing gap - doc claimed this exists but it does not),No,No,Run sweep across all 55 distribution subclasses; confirm 0-failure baseline,N
6,31,Summarize/Misc,Display-formatting patch (Results.__repr__/_repr_html_),summarize-and-misc/display-formatting-changes.md; results_display_formatting.patch,results.py,Medium (display-only; ready to apply as-is),No,No,Check _repr_html_ in real Jupyter notebook; test inconsistent-vector-dim fallback,N
6,32,Summarize/Misc,.summarize() method - ORIENT ONLY do not implement yet,summarize-and-misc/summarize-method-design.md,TBD (results.py likely),Low now / Medium once implemented (design not finalized),YES - 5 open questions block implementation,Possibly (Summary object export TBD),Not yet - blocked on team decisions first,N
7,33,Hierarchical Models,Hierarchical >> operator (Phase 1) - full guide already written,claude_code_hierarchical_phase1_guide.md (complete 10-prompt script),probability_space.py; __init__.py; test_probability_space.py; MODEL-DECISIONS.md,Medium (new public operator; independent feature),No,Yes (export Hierarchical HierarchicalProbabilitySpace - already flagged in guide),Run guide's own Section 6 manual smoke test (5 worked examples),N
-,-,Cross-cutting,No CI workflow exists in repo at all,graphics/symbulate_graphics_testing_strategy.md,new .github/workflows/,Low priority follow-up,No,No,N/A,N
-,-,Cross-cutting,Two pre-existing flaky tests due to unseeded np.random in setUp,graphics/histogram-binning-conversation-summary.md,tests/test_plot.py (2 test methods),Low (pre-existing, unrelated to any patch),No,No,Confirm flake reproduces on unmodified dev then fix by seeding setUp,N
